id,title,author,series
1,Consider Phlebas,Iain M. Banks,Culture Series
2,Excession,Iain M. Banks,Culture Series
3,"Rainbows End",Vernor Vinge,
4,"Childhood's End",Arthur C. Clarke,
5,Blasphemy,Douglas Preston,
6,"That Mad Scientist's Guide to World Domination",John Joseph Adams (Editor),
7,"Gravity's Rainbow",Thomas Pynchon,
8,"Death's End",Cixin Liu,Three-Body Problem
9,The Three-Body Problem,Cixin Liu,Three-Body Problem
10,Stranger in a Strange Land,Robert A. Heinlein,
11,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Hitchhiker's Guide
12,Brave New World,Aldous Huxley,
13,"Ender's Shadow",Orson Scott Card,Ender's Saga
14,Exhalation,Ted Chiang,
15,Stories of Your Life and Others,Ted Chiang,
16,Hyperion,Dan Simmons,Hyperion Cantos
17,The Golden Compass,Philip Pullman,His Dark Materials
18,Accelerando,Charles Stross,
19,Artemis Fowl,Eoin Colfer,Artemis Fowl
20,The Moon is a Harsh Mistress,Robert A. Heinlein,
21,Permutation City,Greg Egan,
22,Solaris,Stanislaw Lem,
23,Too Like the Lightning,Ada Palmer,Terra Ignota
24,The Metamorphosis of Prime Intellect,Roger Williams,
25,True Names,Vernor Vinge,
26,Flatland,Edwin A. Abbott,
27,The Complete Stories of Isaac Asimov,Isaac Asimov,
28,Foundation,Isaac Asimov,Foundation Series
29,Dune,Frank Herbert,Dune Chronicles
30,The Diamond Age,Neal Stephenson,
31,Anathem,Neal Stephenson,
32,Snow Crash,Neal Stephenson,
33,A Fire Upon the Deep,Vernor Vinge,Zones of Thought
34,Diaspora,Greg Egan,
35,Project Hail Mary,Andy Weir,
36,Children of Time,Adrian Tchaikovsky,
37,"Dragon's Egg",Robert L. Forward,
38,Leviathan Wakes,James S.A. Corey,The Expanse
39,A Memory Called Empire,Arkady Martine,Teixcalaan
40,Revelation Space,Alastair Reynolds,Revelation Space
41,Tau Zero,Poul Anderson,
42,"Schild's Ladder",Greg Egan,
43,The Martian,Andy Weir,
44,Fine Structure,Sam Hughes,
45,"We Are Legion (We Are Bob)",Dennis E. Taylor,Bobiverse
46,There Is No Antimemetics Division,qntm,
47,Neverness,David Zindell, 